"temno","cflo","evalue_ab","bitscore_ab","evalue_ba","bitscore_ba","cflo_gene","cflo_name","temno_gene","temno_name"
"TGZ46643.1","XP_011258773.1",0,808,0,810,"LOC105252854","uncharacterized protein LOC105252854 isoform X1","DBV15_04058","Uncharacterized protein DBV15_04058"
"TGZ46643.1","XP_011258774.1",0,808,0,810,"LOC105252854","uncharacterized protein LOC105252854 isoform X1","DBV15_04058","Uncharacterized protein DBV15_04058"
"TGZ46643.1","XP_025267452.1",0,807,0,811,"LOC105252854","uncharacterized protein LOC105252854 isoform X2","DBV15_04058","Uncharacterized protein DBV15_04058"
"TGZ46647.1","XP_011265961.1",0,1395,0,1394,"LOC105257195","GPI inositol-deacylase","DBV15_04067","GPI inositol-deacylase"
"TGZ46648.1","XP_011265982.1",9e-71,211,4e-65,196,"LOC105257215","ejaculatory bulb-specific protein 3","DBV15_04064","Ejaculatory bulb-specific protein 3"
"TGZ46651.1","XP_011266054.1",0,1711,0,1720,"LOC105257261","DNA repair protein REV1","DBV15_04061","DNA repair protein REV1"
"TGZ46652.1","XP_011265950.1",0,543,0,543,"LOC105257188","ribosomal L1 domain-containing protein CG13096","DBV15_04068","Uncharacterized protein DBV15_04068"
"TGZ46653.1","XP_011265925.1",0,591,0,563,"LOC105257167","UV excision repair protein RAD23 homolog B isoform X1","DBV15_04069","UV excision repair protein RAD23-like protein B"
"TGZ46655.1","XP_025267461.1",0,1444,0,1444,"LOC105257322","GMP synthase [glutamine-hydrolyzing]","DBV15_04062","GMP synthase, glutamine-hydrolyzing"
"TGZ46655.1","XP_025267462.1",0,1444,0,1444,"LOC105257322","GMP synthase [glutamine-hydrolyzing]","DBV15_04062","GMP synthase, glutamine-hydrolyzing"
"TGZ46655.1","XP_025267463.1",0,1444,0,1444,"LOC105257322","GMP synthase [glutamine-hydrolyzing]","DBV15_04062","GMP synthase, glutamine-hydrolyzing"
"TGZ46655.1","XP_025267464.1",0,1444,0,1444,"LOC105257322","GMP synthase [glutamine-hydrolyzing]","DBV15_04062","GMP synthase, glutamine-hydrolyzing"
"TGZ46655.1","XP_025267465.1",0,1444,0,1444,"LOC105257322","GMP synthase [glutamine-hydrolyzing]","DBV15_04062","GMP synthase, glutamine-hydrolyzing"
"TGZ46657.1","XP_025262108.1",0,1230,0,1229,"LOC105256026","acylamino-acid-releasing enzyme isoform X1","DBV15_04026","Acylamino-acid-releasing enzyme"
"TGZ46657.1","XP_025262109.1",0,1184,0,1184,"LOC105256026","acylamino-acid-releasing enzyme isoform X2","DBV15_04026","Acylamino-acid-releasing enzyme"
"TGZ46659.1","XP_011258510.1",0,694,0,694,"LOC112637032","uncharacterized protein LOC112637032","DBV15_11573","Uncharacterized protein DBV15_11573"
"TGZ46660.1","XP_011258511.1",5e-41,132,3e-41,132,"LOC105252692","acylphosphatase-2","DBV15_11574","Uncharacterized protein DBV15_11574"
"TGZ46661.1","XP_011258512.1",0,2258,0,2245,"LOC105252693","rab3 GTPase-activating protein non-catalytic subunit","DBV15_11575","Uncharacterized protein DBV15_11575"
"TGZ46662.1","XP_025266719.1",4e-46,171,1e-46,171,"LOC105255883","zinc finger BED domain-containing protein 4-like","DBV15_12230","Zinc finger bed domain-containing-like protein, partial"
"TGZ46663.1","XP_025266103.1",2e-81,251,1e-81,251,"LOC112638487","putative nuclease HARBI1","DBV15_12231","Uncharacterized protein DBV15_12231"
"TGZ46663.1","XP_025267832.1",1e-77,243,6e-78,243,"LOC112639112","putative nuclease HARBI1","DBV15_12231","Uncharacterized protein DBV15_12231"
"TGZ46675.1","XP_025271065.1",0,1390,0,1390,"LOC105255014","semaphorin-1A isoform X1","DBV15_10942","Semaphorin-1A"
"TGZ46675.1","XP_025271066.1",0,1398,0,1398,"LOC105255014","semaphorin-1A isoform X2","DBV15_10942","Semaphorin-1A"
"TGZ46675.1","XP_025271067.1",0,1391,0,1391,"LOC105255014","semaphorin-1A isoform X3","DBV15_10942","Semaphorin-1A"
"TGZ46675.1","XP_025271068.1",0,1334,0,1334,"LOC105255014","semaphorin-1A isoform X4","DBV15_10942","Semaphorin-1A"
"TGZ46676.1","XP_011262348.1",0,2059,0,2072,"LOC105255013","inactive tyrosine-protein kinase 7 isoform X1","DBV15_10943","Inactive tyrosine-protein kinase"
"TGZ46676.1","XP_011262349.1",0,2063,0,2072,"LOC105255013","inactive tyrosine-protein kinase 7 isoform X2","DBV15_10943","Inactive tyrosine-protein kinase"
"TGZ46679.1","XP_011253915.1",5e-146,426,1e-146,426,"LOC105249852","high choriolytic enzyme 1","DBV15_11114","Metalloendopeptidase"
"TGZ46680.1","XP_011253904.1",0,564,0,564,"LOC105249842","zinc metalloproteinase nas-13","DBV15_11115","Metalloendopeptidase"
"TGZ46682.1","XP_011253774.1",0,816,0,795,"LOC105249758","cytochrome P450 306a1","DBV15_11117","Uncharacterized protein DBV15_11117"
"TGZ46682.1","XP_025266990.1",0,816,0,795,"LOC105249758","cytochrome P450 306a1","DBV15_11117","Uncharacterized protein DBV15_11117"
"TGZ46683.1","XP_011253786.1",0,1391,0,1391,"LOC105249769","serine/threonine-protein kinase fused isoform X1","DBV15_11113","Uncharacterized protein DBV15_11113, partial"
"TGZ46684.1","XP_011253751.1",0,647,0,650,"LOC105249751","cytochrome P450 18a1","DBV15_11118","Cytochrome P450 18a1"
"TGZ46687.1","XP_011266070.1",0,1060,0,1034,"LOC105257269","protein numb isoform X1","DBV15_09138","Uncharacterized protein DBV15_09138"
"TGZ46687.1","XP_011266071.1",0,1067,0,1041,"LOC105257269","protein numb isoform X2","DBV15_09138","Uncharacterized protein DBV15_09138"
"TGZ46691.1","XP_025263035.1",0,4159,0,4140,"LOC105254988","protein lava lamp isoform X1","DBV15_09134","Protein lava lamp"
"TGZ46691.1","XP_025263036.1",0,4149,0,4137,"LOC105254988","protein lava lamp isoform X2","DBV15_09134","Protein lava lamp"
"TGZ46691.1","XP_025263037.1",0,4129,0,4117,"LOC105254988","protein lava lamp isoform X3","DBV15_09134","Protein lava lamp"
"TGZ46692.1","XP_011262311.1",2e-71,227,7e-70,222,"LOC105254987","uncharacterized protein LOC105254987","DBV15_09133","Uncharacterized protein DBV15_09133"
"TGZ46693.1","XP_011254265.1",0,2024,0,2023,"LOC105250078","probable phosphorylase b kinase regulatory subunit alpha isoform X1","DBV15_09132","Phosphorylase b kinase regulatory subunit"
"TGZ46693.1","XP_011254266.1",0,2024,0,2023,"LOC105250078","probable phosphorylase b kinase regulatory subunit alpha isoform X1","DBV15_09132","Phosphorylase b kinase regulatory subunit"
"TGZ46693.1","XP_011254268.1",0,2025,0,2023,"LOC105250078","probable phosphorylase b kinase regulatory subunit alpha isoform X3","DBV15_09132","Phosphorylase b kinase regulatory subunit"
"TGZ46693.1","XP_025263088.1",0,2024,0,2023,"LOC105250078","probable phosphorylase b kinase regulatory subunit alpha isoform X1","DBV15_09132","Phosphorylase b kinase regulatory subunit"
"TGZ46693.1","XP_025263089.1",0,2001,0,1999,"LOC105250078","probable phosphorylase b kinase regulatory subunit alpha isoform X2","DBV15_09132","Phosphorylase b kinase regulatory subunit"
"TGZ46694.1","XP_011254256.1",1e-148,422,2e-157,444,"LOC105250075","39S ribosomal protein L28, mitochondrial","DBV15_09131","Uncharacterized protein DBV15_09131"
"TGZ46705.1","XP_011255244.1",0,745,0,746,"LOC105250706","ecdysone 20-monooxygenase isoform X1","DBV15_10352","Uncharacterized protein DBV15_10352"
"TGZ46705.1","XP_011255245.1",0,746,0,746,"LOC105250706","ecdysone 20-monooxygenase isoform X2","DBV15_10352","Uncharacterized protein DBV15_10352"
"TGZ46705.1","XP_025264587.1",0,734,0,734,"LOC105250706","ecdysone 20-monooxygenase isoform X3","DBV15_10352","Uncharacterized protein DBV15_10352"
"TGZ46708.1","XP_011255251.3",0,2890,0,2903,"LOC105250708","uncharacterized protein LOC105250708","DBV15_10351","FH2 domain-containing protein 1, partial"
"TGZ46708.1","XP_025264585.1",0,2890,0,2903,"LOC105250708","uncharacterized protein LOC105250708","DBV15_10351","FH2 domain-containing protein 1, partial"
"TGZ46709.1","XP_011255250.1",0,955,0,955,"LOC105250707","cyclin-dependent kinase 8","DBV15_10350","Cell division protein kinase 8"
"TGZ46710.1","XP_025263838.1",0,1791,0,1999,"LOC105252639","ATP-dependent DNA helicase Q4","DBV15_10348","ATP-dependent DNA helicase Q4"
"TGZ46711.1","XP_011258413.1",6e-109,313,3e-109,313,"LOC105252638","uncharacterized protein LOC105252638","DBV15_10349","Uncharacterized protein DBV15_10349"
"TGZ46711.1","XP_011258414.1",6e-109,313,3e-109,313,"LOC105252638","uncharacterized protein LOC105252638","DBV15_10349","Uncharacterized protein DBV15_10349"
"TGZ46718.1","XP_025269356.1",0,852,0,865,"LOC105257482","probable dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase","DBV15_10810","Alpha-1,3-glucosyltransferase"
"TGZ46718.1","XP_025269357.1",0,852,0,865,"LOC105257482","probable dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase","DBV15_10810","Alpha-1,3-glucosyltransferase"
"TGZ46718.1","XP_025269358.1",0,852,0,865,"LOC105257482","probable dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase","DBV15_10810","Alpha-1,3-glucosyltransferase"
"TGZ46720.1","XP_011251415.1",0,588,0,589,"LOC105248357","G1/S-specific cyclin-D2","DBV15_10802","G1/S-specific cyclin-D2"
"TGZ46721.1","XP_011266418.1",5e-172,486,6e-174,490,"LOC105257476","coiled-coil domain-containing protein 94","DBV15_10805","Uncharacterized protein DBV15_10805"
"TGZ46724.1","XP_025269374.1",0,927,0,949,"LOC105257480","cingulin-like protein 1","DBV15_10806","Uncharacterized protein DBV15_10806"
"TGZ46725.1","XP_025269359.1",2e-72,224,5e-69,214,"LOC105257477","uncharacterized protein LOC105257477","DBV15_10809","Uncharacterized protein DBV15_10809"
"TGZ46726.1","XP_011266422.1",0,1309,0,1315,"LOC105257478","spondin-1 isoform X1","DBV15_10808","Spondin-1"
"TGZ46726.1","XP_011266423.1",0,1273,0,1278,"LOC105257478","spondin-1 isoform X3","DBV15_10808","Spondin-1"
"TGZ46726.1","XP_019884984.1",0,1313,0,1317,"LOC105257478","spondin-1 isoform X2","DBV15_10808","Spondin-1"
"TGZ46728.1","XP_011254629.1",0,2088,0,2089,"LOC105250310","calponin homology domain-containing protein DDB_G0272472","DBV15_11677","Uncharacterized protein DBV15_11677"
"TGZ46728.1","XP_011254630.1",0,2088,0,2089,"LOC105250310","calponin homology domain-containing protein DDB_G0272472","DBV15_11677","Uncharacterized protein DBV15_11677"
"TGZ46729.1","XP_011257768.2",0,4329,0,4301,"LOC105252186","DNA polymerase epsilon catalytic subunit A","DBV15_05490","DNA polymerase epsilon catalytic subunit A"
"TGZ46730.1","XP_011257769.2",9e-48,152,3e-48,152,"LOC105252187","ATP synthase-coupling factor 6, mitochondrial","DBV15_05491","ATP synthase-coupling factor 6, mitochondrial"
"TGZ46730.1","XP_011257770.2",9e-48,152,3e-48,152,"LOC105252187","ATP synthase-coupling factor 6, mitochondrial","DBV15_05491","ATP synthase-coupling factor 6, mitochondrial"
"TGZ46731.1","XP_011254364.2",0,619,0,640,"LOC105250122","probable low-specificity L-threonine aldolase 2","DBV15_05492","Uncharacterized protein DBV15_05492"
"TGZ46732.1","XP_019882760.2",0,3677,0,3555,"LOC105250126","myosin heavy chain, non-muscle isoform X1","DBV15_05493","Myosin heavy chain, non-muscle"
"TGZ46732.1","XP_025266195.1",0,3681,0,3561,"LOC105250126","myosin heavy chain, non-muscle isoform X2","DBV15_05493","Myosin heavy chain, non-muscle"
"TGZ46732.1","XP_025266196.1",0,3686,0,3568,"LOC105250126","myosin heavy chain, non-muscle isoform X3","DBV15_05493","Myosin heavy chain, non-muscle"
"TGZ46732.1","XP_025266197.1",0,3596,0,3476,"LOC105250126","myosin heavy chain, non-muscle isoform X4","DBV15_05493","Myosin heavy chain, non-muscle"
"TGZ46732.1","XP_025266198.1",0,3595,0,3479,"LOC105250126","myosin heavy chain, non-muscle isoform X5","DBV15_05493","Myosin heavy chain, non-muscle"
"TGZ46733.1","XP_011254366.1",0,1625,0,1662,"LOC105250124","poly [ADP-ribose] polymerase","DBV15_05494","Poly"
"TGZ46734.1","XP_025266270.1",0,751,0,764,"LOC105250128","uncharacterized protein LOC105250128","DBV15_05495","Uncharacterized protein DBV15_05495"
"TGZ46735.1","XP_025266269.1",7e-80,236,3e-66,200,"LOC105250129","uncharacterized protein LOC105250129","DBV15_05496","Uncharacterized protein DBV15_05496"
"TGZ46736.1","XP_011254376.1",0,1397,0,1376,"LOC105250130","retinal guanylyl cyclase 2","DBV15_05497","Guanylate cyclase, partial"
"TGZ46737.1","XP_025266267.1",0,1207,0,1207,"LOC105250131","kelch-like protein 10","DBV15_05498","Kelch-like protein 10"
"TGZ46738.1","XP_025266212.1",0,2784,0,2792,"LOC105250132","uncharacterized protein LOC105250132 isoform X1","DBV15_05499","Uncharacterized protein DBV15_05499"
"TGZ46738.1","XP_025266213.1",0,2798,0,2804,"LOC105250132","uncharacterized protein LOC105250132 isoform X2","DBV15_05499","Uncharacterized protein DBV15_05499"
"TGZ46738.1","XP_025266214.1",0,2806,0,2815,"LOC105250132","uncharacterized protein LOC105250132 isoform X3","DBV15_05499","Uncharacterized protein DBV15_05499"
"TGZ46738.1","XP_025266215.1",0,2712,0,2720,"LOC105250132","uncharacterized protein LOC105250132 isoform X4","DBV15_05499","Uncharacterized protein DBV15_05499"
"TGZ46740.1","XP_011250698.1",1e-35,134,4e-37,137,"LOC105247930","protein giant","DBV15_05507","Hepatic leukemia factor"
"TGZ46745.1","XP_011263906.1",0,662,0,662,"LOC105256002","galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase I","DBV15_05500","Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase"
"TGZ46746.1","XP_025266208.1",0,1253,0,1253,"LOC105256003","fasciclin-2","DBV15_05501","Uncharacterized protein DBV15_05501"
"TGZ46747.1","XP_011250699.2",2e-139,397,8e-140,397,"LOC105247931","zinc finger protein 511","DBV15_05508","Uncharacterized protein DBV15_05508"
"TGZ46748.1","XP_025264179.1",0,996,0,990,"LOC112637823","midasin-like","DBV15_05509","Uncharacterized protein DBV15_05509"
"TGZ46749.1","XP_011263750.2",0,850,0,836,"LOC105255901","histone acetyltransferase Tip60","DBV15_05520","Histone acetyltransferase"
"TGZ46752.1","XP_011265566.1",0,1693,0,1693,"LOC105256954","protein pigeon isoform X1","DBV15_05486","Protein pigeon"
"TGZ46753.1","XP_011265586.1",2e-59,181,7e-60,181,"LOC105256968","RNMT-activating mini protein","DBV15_05485","Uncharacterized protein DBV15_05485"
"TGZ46753.1","XP_025266245.1",2e-59,181,7e-60,181,"LOC105256968","RNMT-activating mini protein","DBV15_05485","Uncharacterized protein DBV15_05485"
"TGZ46754.1","XP_011265611.1",1e-133,375,6e-134,375,"LOC105256983","calcium load-activated calcium channel","DBV15_05484","Transmembrane and coiled-coil domains protein 1"
"TGZ46754.1","XP_025266229.1",1e-133,375,6e-134,375,"LOC105256983","calcium load-activated calcium channel","DBV15_05484","Transmembrane and coiled-coil domains protein 1"
"TGZ46755.1","XP_025266311.1",0,1612,0,1071,"LOC105256998","serine/threonine-protein phosphatase 1 regulatory subunit 10","DBV15_05483","Serine/threonine-protein phosphatase 1 regulatory subunit, partial"
"TGZ46755.1","XP_025266312.1",0,1612,0,1071,"LOC105256998","serine/threonine-protein phosphatase 1 regulatory subunit 10","DBV15_05483","Serine/threonine-protein phosphatase 1 regulatory subunit, partial"
"TGZ46755.1","XP_025266313.1",0,1612,0,1071,"LOC105256998","serine/threonine-protein phosphatase 1 regulatory subunit 10","DBV15_05483","Serine/threonine-protein phosphatase 1 regulatory subunit, partial"
"TGZ46755.1","XP_025266314.1",0,1612,0,1071,"LOC105256998","serine/threonine-protein phosphatase 1 regulatory subunit 10","DBV15_05483","Serine/threonine-protein phosphatase 1 regulatory subunit, partial"
"TGZ46755.1","XP_025266315.1",0,1612,0,1071,"LOC105256998","serine/threonine-protein phosphatase 1 regulatory subunit 10","DBV15_05483","Serine/threonine-protein phosphatase 1 regulatory subunit, partial"
"TGZ46756.1","XP_025265000.1",0,843,0,843,"LOC105248749","pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1 isoform X1","DBV15_05482","Uncharacterized protein DBV15_05482"
"TGZ46757.1","XP_011252011.1",6e-55,170,3e-55,170,"LOC105248750","uncharacterized protein LOC105248750","DBV15_05481","Uncharacterized protein DBV15_05481"
"TGZ46758.1","XP_019882281.2",0,1839,0,1859,"LOC105248773","kinesin-like protein KIF14","DBV15_05480","Kinesin-like protein KIF14"
"TGZ46759.1","XP_011257761.1",0,1137,0,1129,"LOC105252184","ETS-like protein pointed isoform X1","DBV15_05489","Uncharacterized protein DBV15_05489"
"TGZ46759.1","XP_011257762.1",0,1131,0,1123,"LOC105252184","ETS-like protein pointed isoform X2","DBV15_05489","Uncharacterized protein DBV15_05489"
"TGZ46760.1","XP_011257759.3",2e-143,437,4e-142,433,"LOC105252183","uncharacterized protein LOC105252183","DBV15_05488","Uncharacterized protein DBV15_05488"
"TGZ46767.1","XP_011262749.2",0,1575,0,1575,"LOC105255272","B-cell lymphoma/leukemia 11A isoform X2","DBV15_05511","B-cell lymphoma/leukemia 11A"
"TGZ46767.1","XP_025264177.1",0,1548,0,1548,"LOC105255272","B-cell lymphoma/leukemia 11A isoform X1","DBV15_05511","B-cell lymphoma/leukemia 11A"
"TGZ46767.1","XP_025264178.1",0,1550,0,1550,"LOC105255272","B-cell lymphoma/leukemia 11A isoform X3","DBV15_05511","B-cell lymphoma/leukemia 11A"
"TGZ46768.1","XP_025264180.1",2e-30,107,3e-31,108,"LOC112637824","uncharacterized protein LOC112637824","DBV15_05510","Uncharacterized protein DBV15_05510"
"TGZ46771.1","XP_011252023.2",0,523,0,523,"LOC105248753","tetratricopeptide repeat protein 19 homolog, mitochondrial isoform X1","DBV15_05478","Uncharacterized protein DBV15_05478"
"TGZ46771.1","XP_025264967.1",0,523,0,523,"LOC105248753","tetratricopeptide repeat protein 19 homolog, mitochondrial isoform X1","DBV15_05478","Uncharacterized protein DBV15_05478"
"TGZ46772.1","XP_011252012.1",6e-174,498,1e-154,447,"LOC105248751","protein catecholamines up","DBV15_05479","Uncharacterized protein DBV15_05479"
"TGZ46773.1","XP_025269118.1",7e-10,53.5,2e-17,73.2,"LOC105250510","uncharacterized histidine-rich protein DDB_G0274557","DBV15_06561","Uncharacterized protein DBV15_06561"
"TGZ46775.1","XP_011254541.1",0,1174,0,1203,"LOC105250247","solute carrier family 26 member 10 isoform X1","DBV15_06563","Prestin"
"TGZ46775.1","XP_011254542.1",0,1173,0,1203,"LOC105250247","solute carrier family 26 member 10 isoform X2","DBV15_06563","Prestin"
"TGZ46775.1","XP_011254543.1",0,1173,0,1203,"LOC105250247","solute carrier family 26 member 10 isoform X3","DBV15_06563","Prestin"
"TGZ46775.1","XP_025269119.1",0,1173,0,1203,"LOC105250247","solute carrier family 26 member 10 isoform X3","DBV15_06563","Prestin"
"TGZ46776.1","XP_011254963.1",2e-58,179,6e-59,179,"LOC105250511","signal peptidase complex subunit 1","DBV15_06562","Signal peptidase complex subunit 1-like protein"
"TGZ46778.1","XP_025269135.1",0,880,0,814,"LOC105250250","protein enabled homolog","DBV15_06564","Uncharacterized protein DBV15_06564"
"TGZ46779.1","XP_025265201.1",1e-21,92.4,3e-22,93.2,"LOC105256422","zinc finger protein 239 isoform X2","DBV15_06567","Transcriptional repressor scratch 1"
"TGZ46781.1","XP_011254537.1",0,1277,0,1278,"LOC105250245","AFG3-like protein 2","DBV15_06569","AFG3-like protein 2"
"TGZ46782.1","XP_011262817.2",3e-177,495,6e-178,496,"LOC105255301","general transcription factor IIF subunit 2 isoform X2","DBV15_06577","General transcription factor IIF subunit 2"
"TGZ46782.1","XP_025270645.1",4e-171,480,1e-171,481,"LOC105255301","general transcription factor IIF subunit 2 isoform X1","DBV15_06577","General transcription factor IIF subunit 2"
"TGZ46783.1","XP_011252998.2",0,1454,0,1454,"LOC105249323","DNA replication licensing factor Mcm5","DBV15_06549","DNA helicase"
"TGZ46784.1","XP_011252988.1",0,1004,0,988,"LOC105249319","WD repeat-containing protein 37","DBV15_06548","Uncharacterized protein DBV15_06548"
"TGZ46784.1","XP_011252989.1",0,1004,0,988,"LOC105249319","WD repeat-containing protein 37","DBV15_06548","Uncharacterized protein DBV15_06548"
"TGZ46785.1","XP_011252983.1",0,1037,0,1037,"LOC105249315","signal recognition particle 54 kDa protein","DBV15_06543","Signal recognition particle 54 kDa protein"
"TGZ46786.1","XP_011252982.1",0,837,0,837,"LOC105249314","chitinase-3-like protein 2 isoform X1","DBV15_06542","Acidic mammalian chitinase"
"TGZ46787.1","XP_011252990.1",2e-143,405,3e-149,419,"LOC105249320","protein ARV1","DBV15_06547","Uncharacterized protein DBV15_06547"
"TGZ46787.1","XP_011252991.1",2e-143,405,3e-149,419,"LOC105249320","protein ARV1","DBV15_06547","Uncharacterized protein DBV15_06547"
"TGZ46787.1","XP_011252992.1",2e-143,405,3e-149,419,"LOC105249320","protein ARV1","DBV15_06547","Uncharacterized protein DBV15_06547"
"TGZ46787.1","XP_011252993.1",2e-143,405,3e-149,419,"LOC105249320","protein ARV1","DBV15_06547","Uncharacterized protein DBV15_06547"
"TGZ46788.1","XP_025269108.1",0,843,0,843,"LOC105249318","adenylosuccinate synthetase","DBV15_06545","Adenylosuccinate synthetase"
"TGZ46789.1","XP_011252985.1",0,898,0,898,"LOC105249316","COP9 signalosome complex subunit 1","DBV15_06544","Uncharacterized protein DBV15_06544, partial"
"TGZ46790.1","XP_025266224.1",0,2490,0,2435,"LOC105252571","trafficking protein particle complex subunit 8 isoform X1","DBV15_06541","Trafficking protein particle complex subunit 8"
"TGZ46790.1","XP_025266225.1",0,2476,0,2420,"LOC105252571","trafficking protein particle complex subunit 8 isoform X2","DBV15_06541","Trafficking protein particle complex subunit 8"
"TGZ46791.1","XP_011252996.1",1e-117,343,5e-130,375,"LOC105249321","alcohol dehydrogenase [NADP(+)]","DBV15_06546","Alcohol dehydrogenase"
"TGZ46794.1","XP_025269104.1",7e-80,241,3e-80,241,"LOC105250249","Kv channel-interacting protein 1","DBV15_06570","Kv channel-interacting protein 1"
"TGZ46794.1","XP_025269105.1",7e-80,241,3e-80,241,"LOC105250249","Kv channel-interacting protein 1","DBV15_06570","Kv channel-interacting protein 1"
"TGZ46794.1","XP_025269106.1",7e-80,241,3e-80,241,"LOC105250249","Kv channel-interacting protein 1","DBV15_06570","Kv channel-interacting protein 1"
"TGZ46796.1","XP_011262818.2",0,702,0,702,"LOC105255302","mannose-6-phosphate isomerase","DBV15_06576","Mannose-6-phosphate isomerase"
"TGZ46796.1","XP_011262819.2",0,702,0,702,"LOC105255302","mannose-6-phosphate isomerase","DBV15_06576","Mannose-6-phosphate isomerase"
"TGZ46801.1","XP_011254955.1",0,752,0,752,"LOC105250506","vacuolar protein sorting-associated protein 26B-like","DBV15_06554","Uncharacterized protein DBV15_06554"
"TGZ46802.1","XP_011254957.1",0,600,0,600,"LOC105250507","palmitoyltransferase ZDHHC3","DBV15_06555","Palmitoyltransferase"
"TGZ46802.1","XP_011254958.1",0,600,0,600,"LOC105250507","palmitoyltransferase ZDHHC3","DBV15_06555","Palmitoyltransferase"
"TGZ46802.1","XP_019882871.1",0,600,0,600,"LOC105250507","palmitoyltransferase ZDHHC3","DBV15_06555","Palmitoyltransferase"
"TGZ46803.1","XP_019882872.1",8e-56,172,5e-64,192,"LOC105250508","uncharacterized protein LOC105250508 isoform X1","DBV15_06556","Uncharacterized protein DBV15_06556"
"TGZ46803.1","XP_025269137.1",1e-52,164,4e-53,164,"LOC105250508","uncharacterized protein LOC105250508 isoform X2","DBV15_06556","Uncharacterized protein DBV15_06556"
"TGZ46804.1","XP_025269130.1",6e-120,392,1e-132,426,"LOC112639448","uncharacterized protein LOC112639448","DBV15_06557","Uncharacterized protein DBV15_06557"
"TGZ46805.1","XP_025269083.1",0,2845,0,2833,"LOC105250501","eIF-2-alpha kinase GCN2","DBV15_06550","Eukaryotic translation initiation factor 2-alpha kinase 4"
"TGZ46806.1","XP_011254946.1",0,671,0,671,"LOC105250502","eukaryotic translation initiation factor 3 subunit I","DBV15_06551","Eukaryotic translation initiation factor 3 subunit I"
"TGZ46807.1","XP_011254947.1",0,1900,0,1916,"LOC105250503","MOG interacting and ectopic P-granules protein 1 isoform X1","DBV15_06552","MOG interacting and ectopic P-granules protein 1"
"TGZ46807.1","XP_011254948.1",0,1900,0,1916,"LOC105250503","MOG interacting and ectopic P-granules protein 1 isoform X2","DBV15_06552","MOG interacting and ectopic P-granules protein 1"
"TGZ46807.1","XP_011254949.1",0,1900,0,1916,"LOC105250503","MOG interacting and ectopic P-granules protein 1 isoform X2","DBV15_06552","MOG interacting and ectopic P-granules protein 1"
"TGZ46807.1","XP_011254950.1",0,1900,0,1916,"LOC105250503","MOG interacting and ectopic P-granules protein 1 isoform X2","DBV15_06552","MOG interacting and ectopic P-granules protein 1"
"TGZ46807.1","XP_011254951.1",0,1900,0,1916,"LOC105250503","MOG interacting and ectopic P-granules protein 1 isoform X2","DBV15_06552","MOG interacting and ectopic P-granules protein 1"
"TGZ46807.1","XP_011254952.1",0,1900,0,1916,"LOC105250503","MOG interacting and ectopic P-granules protein 1 isoform X2","DBV15_06552","MOG interacting and ectopic P-granules protein 1"
"TGZ46808.1","XP_011254954.1",3e-74,222,4e-68,205,"LOC105250505","uncharacterized protein KIAA1143 homolog","DBV15_06553","Uncharacterized protein DBV15_06553"
"TGZ46815.1","XP_011262441.1",0,1239,0,1213,"LOC105255069","microtubule-associated protein futsch isoform X5","DBV15_02617","Uncharacterized protein DBV15_02617"
"TGZ46815.1","XP_011262442.1",0,1239,0,1213,"LOC105255069","microtubule-associated protein futsch isoform X5","DBV15_02617","Uncharacterized protein DBV15_02617"
"TGZ46815.1","XP_011262443.1",0,1239,0,1213,"LOC105255069","microtubule-associated protein futsch isoform X5","DBV15_02617","Uncharacterized protein DBV15_02617"
"TGZ46815.1","XP_011262444.1",0,1239,0,1213,"LOC105255069","microtubule-associated protein futsch isoform X5","DBV15_02617","Uncharacterized protein DBV15_02617"
"TGZ46815.1","XP_019884269.1",0,1239,0,1213,"LOC105255069","microtubule-associated protein futsch isoform X5","DBV15_02617","Uncharacterized protein DBV15_02617"
"TGZ46819.1","XP_025261771.1",0,2660,0,2660,"LOC105255102","WD repeat-containing protein 19","DBV15_02613","Uncharacterized protein DBV15_02613"
"TGZ46820.1","XP_011262423.1",0,733,0,733,"LOC105255063","mRNA export factor","DBV15_02612","mRNA export factor, partial"
"TGZ46821.1","XP_011262422.1",0,983,0,983,"LOC105255062","fidgetin-like protein 1","DBV15_02611","Fidgetin-like protein 1"
"TGZ46823.1","XP_011262448.1",2e-89,261,1e-89,261,"LOC105255071","RING finger protein 11","DBV15_02619","RING finger protein 11"
"TGZ46824.1","XP_011262446.1",0,771,0,770,"LOC105255070","glucosidase 2 subunit beta isoform X1","DBV15_02618","Uncharacterized protein DBV15_02618"
"TGZ46824.1","XP_011262447.1",0,756,0,755,"LOC105255070","glucosidase 2 subunit beta isoform X2","DBV15_02618","Uncharacterized protein DBV15_02618"
"TGZ46825.1","XP_011266795.1",5e-169,479,1e-169,479,"LOC105257701","dehydrogenase/reductase SDR family member on chromosome X","DBV15_02589","Uncharacterized protein DBV15_02589"
